epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1316.2,0.85853,0.46596,0.86353,0.79899,0.62035,0.70491,0.4827,1.02936,0.57985,0.92418,0.0096634,0.0096634,0.0096634
104,1328.25,0.85065,0.46088,0.86353,0.80989,0.62925,0.73226,0.50747,1.00492,0.56247,0.91722,0.0096601,0.0096601,0.0096601
105,1340.43,0.87069,0.47922,0.86452,0.79347,0.62356,0.70837,0.49692,0.98078,0.58359,0.9089,0.0096568,0.0096568,0.0096568
106,1352.52,0.85468,0.46238,0.86141,0.79486,0.61508,0.71316,0.50088,0.98539,0.56938,0.91146,0.0096535,0.0096535,0.0096535
107,1364.67,0.84671,0.45615,0.85929,0.78553,0.60627,0.70383,0.48943,1.01913,0.57439,0.9202,0.0096502,0.0096502,0.0096502
108,1376.74,0.85854,0.46346,0.86292,0.80503,0.60324,0.70333,0.4937,0.99991,0.57621,0.91075,0.0096469,0.0096469,0.0096469
109,1388.91,0.84117,0.45428,0.85758,0.80739,0.63068,0.71942,0.50719,0.9868,0.55999,0.91329,0.0096436,0.0096436,0.0096436
110,1401.03,0.83864,0.45034,0.85418,0.79032,0.63257,0.72571,0.51301,0.97202,0.5681,0.90736,0.0096403,0.0096403,0.0096403
111,1413.24,0.83259,0.45557,0.85609,0.82006,0.63014,0.7317,0.52181,0.94065,0.53135,0.90503,0.009637,0.009637,0.009637
112,1425.36,0.82379,0.45461,0.85414,0.79143,0.63406,0.7077,0.49994,0.96627,0.57483,0.9091,0.0096337,0.0096337,0.0096337
113,1437.49,0.8069,0.44286,0.84965,0.82082,0.62035,0.72192,0.51444,0.94393,0.55202,0.9039,0.0096304,0.0096304,0.0096304
114,1449.66,0.82319,0.44576,0.85031,0.8006,0.63228,0.71887,0.50078,1.01329,0.5696,0.91385,0.0096271,0.0096271,0.0096271
